Ticker ;ISIN;Valeurs;Catégorie;Pays;Secteur;Industrie;Responsable;Devise;Cours actuel;Capitalisation (EUR Mds.);YTD absolu (LC);Target consensus;Potentiel Consensus;Date d'entrée;Performance réalisée depuis l'entrée;Score fondamental;Score technique;Total;Consensus analystes;Achat SG;ESG;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME;SL CORE;SL SATELLITE
RI FP EQUITY;FR0000120693;PERNOD RICARD SA;Core;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;EUR;187,10;49,00;19,3%;195,00;4,2%;-;-;2,58;3,00;2,69;;;Bonus;NON;NON;OUI;OUI;OUI;NON;NON;NON
AMZN US EQUITY;US0231351067;AMAZON.COM INC;Core;UNITED STATES;Consommation discrétionnaire;Vente au détail;Bruno;USD;3344,94;1694,01;2,7%;4130,00;23,5%;09/06/2020;28,61%;3,58;0,00;2,69;Bonus;Bonus;Malus;NON;OUI;NON;NON;NON;NON;OUI;NON
C US EQUITY;US1729674242;CITIGROUP INC;Core;UNITED STATES;Finance;Banques;Chantal;USD;71,07;144,04;15,3%;82,00;15,4%;-;-;3,25;1,00;2,69;;Bonus;Malus;NON;OUI;NON;NON;NON;NON;NON;NON
DTE GR EQUITY;DE0005557508;DEUTSCHE TELEKOM;Core;GERMANY;Services de communication;Services de télécommunicatio;Cédric;EUR;17,69;84,25;18,3%;21,15;19,5%;-;-;3,25;1,00;2,69;Bonus;Bonus;;NON;NON;OUI;NON;NON;NON;NON;NON
FGR FP EQUITY;FR0000130452;EIFFAGE;Opportuniste;FRANCE;Industrie;Biens d'investissement;Yann;EUR;86,74;8,71;9,7%;105,00;21,1%;13/01/2021;9,13%;3,25;1,00;2,69;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;NON;NON;NON;OUI
FME GR EQUITY;DE0005785802;FRESENIUS MEDICA;Core;GERMANY;Soins de santé;Equipement et services de sant;Thomas;EUR;67,04;19,64;-1,7%;69,00;2,9%;-;-;2,92;2,00;2,69;;;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
GIVN SW EQUITY;CH0010645932;GIVAUDAN-REG;Core;SWITZERLAND;Matériaux;Matériaux;Jeremy;CHF;4537,00;41,89;21,6%;4025,00;-11,3%;-;-;2,92;2,00;2,69;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
GLJ GR EQUITY;DE000A161N30;GRENKE AG;Opportuniste;GERMANY;Finance;Services financiers diversifi;Chantal;EUR;36,92;1,72;-4,9%;48,00;30,0%;-;-;3,25;1,00;2,69;Bonus;;Malus;NON;NON;NON;NON;NON;NON;NON;NON
NXI FP EQUITY;FR0010112524;NEXITY;Opportuniste;FRANCE;Immobilier;Immobilier;Jeremy;EUR;43,28;2,43;22,1%;51,10;18,1%;-;-;3,25;1,00;2,69;;Bonus;Bonus;NON;NON;NON;OUI;NON;NON;NON;NON
AIR FP EQUITY;NL0000235190;AIRBUS SE;Core;FRANCE;Industrie;Biens d'investissement;Yann;EUR;116,08;91,23;29,3%;134,75;16,1%;-;-;2,58;3,00;2,69;Bonus;;Malus;NON;NON;OUI;OUI;OUI;NON;NON;NON
SOP FP EQUITY;FR0000050809;SOPRA STERIA GRO;Opportuniste;FRANCE;Technologies de l'information;Logiciels et services;Moad;EUR;169,50;3,48;28,2%;187,50;10,6%;-;-;3,25;1,00;2,69;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
TIETO FH EQUITY;FI0009000277;TIETOEVRY OYJ;Opportuniste;FINLAND;Technologies de l'information;Logiciels et services;Moad;EUR;29,22;3,46;8,8%;33,00;12,9%;-;-;3,25;1,00;2,69;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
US IM EQUITY;IT0004827447;UNIPOLSAI SPA;Opportuniste;ITALY;Finance;Assurance;Chantal;EUR;2,40;6,80;10,5%;2,60;8,4%;-;-;3,25;1,00;2,69;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
TFC US EQUITY;US89832Q1094;TRUIST FINANCIAL;Core;UNITED STATES;Finance;Banques;Chantal;USD;56,60;75,55;18,1%;62,75;10,9%;-;-;3,25;1,00;2,69;;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
ADEN SW EQUITY;CH0012138605;ADECCO GROUP AG;Opportuniste;SWITZERLAND;Industrie;Services commerciaux et profes;Yann;CHF;53,48;8,72;-9,6%;65,00;21,5%;-;-;2,83;2,00;2,63;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ALD FP EQUITY;FR0013258662;ALD SA;Opportuniste;FRANCE;Industrie;Transport;Thomas;EUR;12,40;5,01;7,8%;15,00;21,0%;-;-;2,83;2,00;2,63;Bonus;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
AMUN FP EQUITY;FR0004125920;AMUNDI SA;Core;FRANCE;Finance;Services financiers diversifi;Chantal;EUR;81,05;16,42;21,3%;87,00;7,3%;-;-;2,50;3,00;2,63;Bonus;;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
ALIV SS EQUITY;SE0000382335;AUTOLIV INC-SDR;Core;SWEDEN;Consommation discrétionnaire;Automobiles et composants auto;Yann;SEK;852,60;74,54;11,5%;970,00;13,8%;-;-;3,17;1,00;2,63;;;;NON;NON;NON;NON;NON;NON;NON;NON
CS FP EQUITY;FR0000120628;AXA;Core;FRANCE;Finance;Assurance;Chantal;EUR;23,76;57,47;21,8%;26,75;12,6%;13/01/2021;18,61%;2,50;3,00;2,63;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;OUI;NON;OUI;NON
SAB SM EQUITY;ES0113860A34;BANCO SABADELL;Opportuniste;SPAIN;Finance;Banques;Chantal;EUR;0,61;3,45;73,1%;0,63;2,0%;-;-;2,50;3,00;2,63;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
BIRG ID EQUITY;IE00BD1RP616;BANK OF IRELAND;Opportuniste;IRELAND;Finance;Banques;Chantal;EUR;5,01;5,40;51,8%;6,10;21,8%;-;-;2,50;3,00;2,63;Bonus;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
BKT SM EQUITY;ES0113679I37;BANKINTER;Opportuniste;SPAIN;Finance;Banques;Chantal;EUR;4,83;4,34;48,5%;4,68;-3,0%;-;-;2,50;3,00;2,63;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
BON FP EQUITY;FR0000063935;BONDUELLE SCA;Opportuniste;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;EUR;21,00;0,69;1,0%;23,90;13,8%;-;-;2,83;2,00;2,63;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
CARLB DC EQUITY;DK0010181759;CARLSBERG-B;Core;DENMARK;Consommation de base;Produits alimentaires, boisson;Sophie;DKK;1115,00;168,36;14,3%;1250,00;12,1%;-;-;2,83;2,00;2,63;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ELISA FH EQUITY;FI0009007884;ELISA OYJ;Opportuniste;FINLAND;Services de communication;Services de télécommunicatio;Cédric;EUR;54,54;9,13;21,6%;54,00;-1,0%;-;-;2,83;2,00;2,63;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ENG SM EQUITY;ES0130960018;ENAGAS SA;Opportuniste;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;EUR;19,74;5,17;9,9%;19,00;-3,7%;-;-;2,83;2,00;2,63;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
EUCAR FP EQUITY;FR0012789949;EUROPCAR MOBILIT;Opportuniste;FRANCE;Industrie;Transport;Thomas;EUR;0,50;2,49;18,5%;0,50;0,7%;-;-;2,50;3,00;2,63;;;Bonus;NON;NON;NON;OUI;NON;NON;NON;NON
BAER SW EQUITY;CH0102484968;JULIUS BAER GROU;Core;SWITZERLAND;Finance;Services financiers diversifi;Chantal;CHF;61,62;13,63;23,1%;69,00;12,0%;-;-;2,50;3,00;2,63;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
KBC BB EQUITY;BE0003565737;KBC GROUP;Core;BELGIUM;Finance;Banques;Chantal;EUR;71,02;29,59;24,0%;73,50;3,5%;-;-;2,50;3,00;2,63;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
KPN NA EQUITY;NL0000009082;KPN (KONIN) NV;Core;NETHERLANDS;Services de communication;Services de télécommunicatio;Cédric;EUR;2,79;11,71;12,0%;3,18;14,0%;-;-;2,50;3,00;2,63;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
KORI FP EQUITY;FR0010386334;KORIAN;Opportuniste;FRANCE;Soins de santé;Equipement et services de sant;Thomas;EUR;30,76;3,25;-1,9%;38,50;25,2%;-;-;2,83;2,00;2,63;Bonus;Bonus;Malus;NON;NON;NON;OUI;NON;NON;NON;NON
QDT FP EQUITY;FR0000120560;QUADIENT SA;Opportuniste;FRANCE;Technologies de l'information;Matériel et équipement liés;Moad;EUR;24,56;0,85;56,1%;27,00;9,9%;-;-;2,83;2,00;2,63;Bonus;Bonus;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
ORCL US EQUITY;US68389X1054;ORACLE CORP;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;89,52;249,94;38,4%;80,00;-10,6%;-;-;3,17;1,00;2,63;;;Malus;NON;OUI;NON;NON;NON;NON;NON;NON
ORSTED DC EQUITY;DK0060094928;ORSTED A/S;Opportuniste;DENMARK;Services aux collectivités;Services aux collectivités;Sophie;DKK;982,60;412,98;-21,0%;1010,00;2,8%;-;-;2,83;2,00;2,63;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
PIRC IM EQUITY;IT0005278236;PIRELLI E C SPA;Opportuniste;ITALY;Consommation discrétionnaire;Automobiles et composants auto;Yann;EUR;5,54;5,54;25,0%;5,50;-0,7%;-;-;2,50;3,00;2,63;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
PRY IM EQUITY;IT0004176001;PRYSMIAN SPA;Opportuniste;ITALY;Industrie;Biens d'investissement;Yann;EUR;30,69;8,23;5,5%;34,00;10,8%;-;-;2,83;2,00;2,63;Bonus;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
SESG FP EQUITY;LU0088087324;SES;Opportuniste;LUXEMBOURG;Services de communication;Médias et divertissement;Cédric;EUR;6,73;3,10;-12,8%;10,00;48,6%;-;-;2,50;3,00;2,63;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
SRG IM EQUITY;IT0003153415;SNAM SPA;Core;ITALY;Services aux collectivités;Services aux collectivités;Sophie;EUR;5,14;17,27;11,7%;5,10;-0,7%;-;-;2,83;2,00;2,63;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
TEL NO EQUITY;NO0010063308;TELENOR ASA;Core;NORWAY;Services de communication;Services de télécommunicatio;Cédric;NOK;154,45;216,15;5,9%;160,00;3,6%;-;-;3,17;1,00;2,63;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
HALKB TI EQUITY;TRETHAL00019;HALKBANK;Core;TURKEY;Finance;Banques;Chantal;TRY;4,67;11,55;-16,0%;5,00;7,1%;-;-;3,50;0,00;2,63;;;;NON;NON;NON;NON;NON;NON;NON;NON
ZURN SW EQUITY;CH0011075394;ZURICH INSURANCE;Core;SWITZERLAND;Finance;Assurance;Chantal;CHF;383,70;57,73;2,7%;423,00;10,2%;-;-;2,50;3,00;2,63;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
NOVN SW EQUITY;CH0012005267;NOVARTIS AG-REG;Core;SWITZERLAND;Soins de santé;Sciences pharmaceutiques, biot;Thomas;CHF;83,95;204,37;0,4%;91,50;9,0%;-;-;3,17;1,00;2,63;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
ABT US EQUITY;US0028241000;ABBOTT LABS;Core;UNITED STATES;Soins de santé;Equipement et services de sant;Thomas;USD;122,17;216,59;11,6%;128,00;4,8%;-;-;3,17;1,00;2,63;Bonus;;Malus;NON;OUI;NON;NON;NON;NON;NON;NON
HON US EQUITY;US4385161066;HONEYWELL INTL;Core;UNITED STATES;Industrie;Biens d'investissement;Yann;USD;229,68;158,57;8,0%;250,00;8,8%;-;-;2,83;2,00;2,63;;;Bonus;OUI;OUI;NON;NON;NON;NON;NON;NON
BLK US EQUITY;US09247X1019;BLACKROCK INC;Core;UNITED STATES;Finance;Services financiers diversifi;Chantal;USD;896,09;137,25;24,2%;992,00;10,7%;-;-;2,50;3,00;2,63;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
MDLZ US EQUITY;US6092071058;MONDELEZ INTER-A;Core;UNITED STATES;Consommation de base;Produits alimentaires, boisson;Sophie;USD;61,77;86,34;5,6%;71,00;14,9%;-;-;2,83;2,00;2,63;Bonus;;Malus;NON;OUI;NON;NON;NON;NON;NON;NON
AI FP EQUITY;FR0000120073;AIR LIQUIDE SA;Core;FRANCE;Matériaux;Matériaux;Jeremy;EUR;147,52;69,91;9,9%;158,00;7,1%;20/03/2020;40,46%;2,75;2,00;2,56;;Bonus;Bonus;NON;NON;OUI;OUI;OUI;NON;OUI;NON
AOX GR EQUITY;DE000A0LD2U1;ALSTRIA OFFICE;Opportuniste;GERMANY;Immobilier;Immobilier;Jeremy;EUR;18,01;3,21;21,7%;14,93;-17,1%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ABI BB EQUITY;BE0974293251;ANHEUSER-BUSCH I;Core;BELGIUM;Consommation de base;Produits alimentaires, boisson;Sophie;EUR;51,99;104,98;-8,8%;66,00;26,9%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
BAMI IM EQUITY;IT0005218380;BANCO BPM SPA;Opportuniste;ITALY;Finance;Banques;Chantal;EUR;2,72;4,11;50,2%;2,95;8,7%;-;-;2,75;2,00;2,56;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
BP/ LN EQUITY;GB0007980591;BP PLC;Opportuniste;BRITAIN;Energie;Energie;Louis;GBp;301,80;6099,69;18,5%;362,50;20,1%;-;-;2,75;2,00;2,56;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
CFEB BB EQUITY;BE0003883031;CFE;Opportuniste;BELGIUM;Industrie;Biens d'investissement;Yann;EUR;88,20;2,23;5,5%;99,00;12,2%;-;-;3,08;1,00;2,56;Bonus;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
DWNI GR EQUITY;DE000A0HN5C6;DEUTSCHE WOHNEN;Core;GERMANY;Immobilier;Immobilier;Jeremy;EUR;52,86;19,02;21,0%;52,75;-0,2%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ERA FP EQUITY;FR0000131757;ERAMET;Opportuniste;FRANCE;Matériaux;Matériaux;Jeremy;EUR;67,60;1,81;57,5%;71,00;5,0%;-;-;2,75;2,00;2,56;;Bonus;Bonus;NON;NON;NON;OUI;NON;NON;NON;NON
GFC FP EQUITY;FR0010040865;GECINA SA;Core;FRANCE;Immobilier;Immobilier;Jeremy;EUR;135,25;10,35;7,1%;136,00;0,6%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
GLEN LN EQUITY;JE00B4T3BW64;GLENCORE PLC;Core;SWITZERLAND;Matériaux;Matériaux;Jeremy;GBp;324,40;4324,41;41,3%;370,00;14,1%;-;-;2,42;3,00;2,56;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
HMB SS EQUITY;SE0000106270;HENNES & MAURI-B;Core;SWEDEN;Consommation discrétionnaire;Vente au détail;Bruno;SEK;179,40;297,05;4,3%;213,00;18,7%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
IDR SM EQUITY;ES0118594417;INDRA SISTEMAS;Opportuniste;SPAIN;Technologies de l'information;Logiciels et services;Moad;EUR;8,88;1,57;27,2%;9,75;9,8%;-;-;2,42;3,00;2,56;Bonus;Bonus;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
JPM US EQUITY;US46625H1005;JPMORGAN CHASE;Core;UNITED STATES;Finance;Banques;Chantal;USD;157,50;470,63;23,9%;169,90;7,9%;09/06/2020;42,48%;2,75;2,00;2,56;;Bonus;Malus;OUI;OUI;NON;NON;NON;NON;OUI;NON
KGX GR EQUITY;DE000KGX8881;KION GROUP AG;Core;GERMANY;Industrie;Biens d'investissement;Yann;EUR;88,92;11,67;25,0%;100,00;12,5%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
LEG GR EQUITY;DE000LEG1110;LEG IMMOBILIEN S;Opportuniste;GERMANY;Immobilier;Immobilier;Jeremy;EUR;134,15;9,77;5,6%;140,50;4,7%;-;-;2,75;2,00;2,56;Bonus;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
OUT1V FH EQUITY;FI0009002422;OUTOKUMPU OYJ;Opportuniste;FINLAND;Matériaux;Matériaux;Jeremy;EUR;5,64;2,58;75,2%;7,10;25,9%;-;-;2,75;2,00;2,56;;;;NON;NON;NON;NON;NON;NON;NON;NON
RCO FP EQUITY;FR0000130395;REMY COINTREAU;Opportuniste;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;EUR;184,40;9,31;21,1%;164,50;-10,8%;-;-;3,08;1,00;2,56;;;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
REP SM EQUITY;ES0173516115;REPSOL SA;Core;SPAIN;Energie;Energie;Louis;EUR;9,41;14,37;14,1%;12,40;31,7%;-;-;2,75;2,00;2,56;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
RXL FP EQUITY;FR0010451203;REXEL SA;Opportuniste;FRANCE;Industrie;Biens d'investissement;Yann;EUR;17,78;5,43;41,6%;21,25;19,5%;-;-;2,75;2,00;2,56;;Bonus;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
SPL PW EQUITY;PLBZ00000044;SANTANDER BANK;Opportuniste;POLAND;Finance;Banques;Chantal;PLN;269,10;27,49;44,9%;281,50;4,6%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
WLN FP EQUITY;FR0011981968;WORLDLINE;Core;FRANCE;Technologies de l'information;Logiciels et services;Moad;EUR;79,20;22,21;0,1%;90,00;13,6%;04/05/2021;1,67%;3,42;0,00;2,56;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;OUI;NON;NON;OUI
PRX NA EQUITY;NL0013654783;PROSUS NV;Opportuniste;NETHERLANDS;Consommation discrétionnaire;Vente au détail;Bruno;EUR;73,79;120,13;-16,5%;120,00;62,6%;-;-;3,42;0,00;2,56;Bonus;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
USB US EQUITY;US9029733048;US BANCORP;Core;UNITED STATES;Finance;Banques;Chantal;USD;57,00;84,51;22,3%;62,00;8,8%;-;-;2,75;2,00;2,56;;;;NON;OUI;NON;NON;NON;NON;NON;NON
ENB CN EQUITY;CA29250N1050;ENBRIDGE INC;Core;CANADA;Energie;Energie;Louis;CAD;49,67;100,62;22,0%;54,00;8,7%;-;-;2,75;2,00;2,56;Bonus;;Malus;NON;NON;NON;NON;NON;NON;NON;NON
SGSN SW EQUITY;CH0002497458;SGS SA-REG;Core;SWITZERLAND;Industrie;Services commerciaux et profes;Yann;CHF;2905,00;21,76;8,8%;2900,00;-0,2%;-;-;2,75;2,00;2,56;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ANIM IM EQUITY;IT0004998065;ANIMA HOLDING SP;Opportuniste;ITALY;Finance;Services financiers diversifi;Chantal;EUR;4,29;1,58;10,4%;5,00;16,7%;-;-;3,00;1,00;2,50;Bonus;Bonus;;NON;NON;NON;NON;NON;NON;NON;NON
CRI FP EQUITY;FR0000130692;CHARGEURS SA;Opportuniste;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;EUR;21,92;0,53;24,5%;28,50;30,0%;-;-;3,00;1,00;2,50;Bonus;;;NON;NON;NON;NON;NON;OUI;NON;NON
CLN SW EQUITY;CH0012142631;CLARIANT AG-REG;Opportuniste;SWITZERLAND;Matériaux;Matériaux;Jeremy;CHF;19,35;6,42;6,8%;20,00;3,4%;-;-;2,33;3,00;2,50;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
