Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
CIE FINANCI-REG;CH0210483332;CFR SW EQUITY;CHF;66,66;SWITZERLAND;Consommation discrétionnaire;Biens de consommation durables;Bruno;AA;64,52;Green;BUY;RATING SUSPENDED;UNDERPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
CITIGROUP INC;US1729674242;C US EQUITY;USD;144,04;UNITED STATES;Finance;Banques;Chantal;A;60,15;Orange;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
CLARIANT AG-REG;CH0012142631;CLN SW EQUITY;CHF;6,42;SWITZERLAND;Matériaux;Matériaux;Jeremy;AA;82,23;Green;HOLD;UNDERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
CNH INDUSTRIAL N;NL0010545661;CNHI US EQUITY;USD;23,10;BRITAIN;Industrie;Biens d'investissement;Yann;AAA;NR;Green;NOT RATED;RATING SUSPENDED;BUY;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
CNP ASSURANCES;FR0000120222;CNP FP EQUITY;EUR;10,08;FRANCE;Finance;Assurance;Chantal;AAA;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
COCA-COLA EUROPA;GB00BDCPN049;CCEP US EQUITY;USD;28,00;BRITAIN;Consommation de base;Produits alimentaires, boisson;Sophie;AAA;NR;Green;SELL;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
COCA-COLA HBC AG;CH0198251305;CCH LN EQUITY;GBp;972,83;SWITZERLAND;Consommation de base;Produits alimentaires, boisson;Sophie;AAA;NR;Green;SELL;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
COFACE SA;FR0010667147;COFA FP EQUITY;EUR;1,58;FRANCE;Finance;Assurance;Chantal;AA;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
COFINIMMO;BE0003593044;COFB BB EQUITY;EUR;4,18;BELGIUM;Immobilier;Immobilier;Jeremy;A;46,47;Green;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
COGNIZANT TECH-A;US1924461023;CTSH US EQUITY;USD;38,37;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;A;49,48;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;OUI;NON;NON;NON;NON
COLRUYT SA;BE0974256852;COLR BB EQUITY;EUR;6,49;BELGIUM;Consommation de base;Vente au détail de produits a;Sophie;A;NR;Green;NOT RATED;UNDERWEIGHT;NEUTRAL;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
COMMERZBANK;DE000CBK1001;CBK GR EQUITY;EUR;6,78;GERMANY;Finance;Banques;Chantal;AA;NR;Yellow;SELL;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SAINT GOBAIN;FR0000125007;SGO FP EQUITY;EUR;33,82;FRANCE;Industrie;Biens d'investissement;Yann;A;76,34;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
COMPASS GROUP;GB00BD6K4575;CPG LN EQUITY;GBp;2689,43;BRITAIN;Consommation discrétionnaire;Services consommateurs;Bruno;A;58,39;Green;BUY;RATING SUSPENDED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
CONOCOPHILLIPS;US20825C1045;COP US EQUITY;USD;75,66;UNITED STATES;Energie;Energie;Louis;A;68,69;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
CONTINENTAL AG;DE0005439004;CON GR EQUITY;EUR;22,84;GERMANY;Consommation discrétionnaire;Automobiles et composants auto;Yann;BBB;NR;Yellow;NOT RATED;OVERWEIGHT;UNDERPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
CORESTATE CAPITA;LU1296758029;CCAP GR EQUITY;EUR;0,44;LUXEMBOURG;Immobilier;Immobilier;Jeremy;BBB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
COVESTRO AG;DE0006062144;1COV GR EQUITY;EUR;10,51;GERMANY;Matériaux;Matériaux;Jeremy;A;69,17;Green;BUY;UNDERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
COVIVIO;FR0000064578;COV FP EQUITY;EUR;7,62;FRANCE;Immobilier;Immobilier;Jeremy;AA;73,53;Green;HOLD;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
CREDIT AGRICOLE;FR0000045072;ACA FP EQUITY;EUR;37,90;FRANCE;Finance;Banques;Chantal;A;75,59;Orange;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
CREDIT SUISS-REG;CH0012138530;CSGN SW EQUITY;CHF;25,54;SWITZERLAND;Finance;Services financiers diversifi;Chantal;A;60,88;Orange;HOLD;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
CRH PLC;IE0001827041;CRH ID EQUITY;EUR;33,54;IRELAND;Matériaux;Matériaux;Jeremy;AAA;80,34;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
VIRGIN MONEY UK;GB00BD6GN030;VMUK LN EQUITY;GBp;293,04;BRITAIN;Finance;Banques;Chantal;BBB;52,66;Yellow;BUY;UNDERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
DAIMLER AG;DE0007100000;DAI GR EQUITY;EUR;80,05;GERMANY;Consommation discrétionnaire;Automobiles et composants auto;Yann;BBB;68,13;Orange;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
DANONE;FR0000120644;BN FP EQUITY;EUR;43,23;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;AAA;69,92;Green;SELL;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
DASSAULT SYSTEME;FR0014003TT8;DSY FP EQUITY;EUR;63,98;FRANCE;Technologies de l'information;Logiciels et services;Moad;AA;NR;NR;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
DEUTSCHE BANK-RG;DE0005140008;DBK GR EQUITY;EUR;22,25;GERMANY;Finance;Services financiers diversifi;Chantal;A;60;Orange;BUY;NEUTRAL;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
DEUTSCHE BOERSE;DE0005810055;DB1 GR EQUITY;EUR;27,14;GERMANY;Finance;Services financiers diversifi;Chantal;AAA;NR;Yellow;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
DEUTSCHE LUFT-RG;DE0008232125;LHA GR EQUITY;EUR;5,59;GERMANY;Industrie;Transport;Thomas;A;48,97;Yellow;SELL;NOT RATED;UNDERPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
DEUTSCHE POST-RG;DE0005552004;DPW GR EQUITY;EUR;71,27;GERMANY;Industrie;Transport;Thomas;AA;82,83;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
DEUTSCHE TELEKOM;DE0005557508;DTE GR EQUITY;EUR;84,19;GERMANY;Services de communication;Services de télécommunicatio;Cédric;BBB;77,14;Yellow;BUY;OVERWEIGHT;BUY;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
DEUTSCHE WOHNEN;DE000A0HN5C6;DWNI GR EQUITY;EUR;19,02;GERMANY;Immobilier;Immobilier;Jeremy;AA;NR;Green;NOT RATED;RATING SUSPENDED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
DIAGEO PLC;GB0002374006;DGE LN EQUITY;GBp;8386,60;BRITAIN;Consommation de base;Produits alimentaires, boisson;Sophie;AAA;61,59;Yellow;SELL;NEUTRAL;BUY;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
DIC ASSET AG;DE000A1X3XX4;DIC GR EQUITY;EUR;1,28;GERMANY;Immobilier;Immobilier;Jeremy;BBB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
DISTRIBUIDORA IN;ES0126775032;DIA SM EQUITY;EUR;0,16;SPAIN;Consommation de base;Vente au détail de produits a;Sophie;BBB;71,97;Green;HOLD;NOT RATED;REDUCE;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
DNB ASA;NO0010031479;DNBH NO EQUITY;NOK;289,07;NORWAY;Finance;Banques;Chantal;AA;83,53;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
E.ON SE;DE000ENAG999;EOAN GR EQUITY;EUR;27,84;GERMANY;Services aux collectivités;Services aux collectivités;Sophie;AA;82,47;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
EASYJET PLC;GB00B7KR2P84;EZJ LN EQUITY;GBp;380,29;BRITAIN;Industrie;Transport;Thomas;A;NR;Green;NOT RATED;NEUTRAL;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ECONOCOM GROUP;BE0974313455;ECONB BB EQUITY;EUR;0,77;BELGIUM;Technologies de l'information;Logiciels et services;Moad;BB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
EDENRED;FR0010908533;EDEN FP EQUITY;EUR;12,22;FRANCE;Technologies de l'information;Logiciels et services;Moad;AA;61,96;Yellow;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
EDF;FR0010242511;EDF FP EQUITY;EUR;34,06;FRANCE;Services aux collectivités;Services aux collectivités;Sophie;A;73,61;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
EDP;PTEDP0AM0009;EDP PL EQUITY;EUR;17,84;PORTUGAL;Services aux collectivités;Services aux collectivités;Sophie;AAA;75,45;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
EIFFAGE;FR0000130452;FGR FP EQUITY;EUR;8,70;FRANCE;Industrie;Biens d'investissement;Yann;AA;61,56;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
ELI LILLY & CO;US5324571083;LLY US EQUITY;USD;252,00;UNITED STATES;Soins de santé;Sciences pharmaceutiques, biot;Thomas;A;52,56;Yellow;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
ELIS SA;FR0012435121;ELIS FP EQUITY;EUR;3,52;FRANCE;Industrie;Services commerciaux et profes;Yann;BBB;70,01;Green;BUY;RATING SUSPENDED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
ELISA OYJ;FI0009007884;ELISA FH EQUITY;EUR;9,12;FINLAND;Services de communication;Services de télécommunicatio;Cédric;AA;NR;Green;SELL;UNDERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ENAGAS SA;ES0130960018;ENG SM EQUITY;EUR;5,17;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;AA;79,73;Yellow;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ENCE ENERGIA Y C;ES0130625512;ENC SM EQUITY;EUR;0,63;SPAIN;Matériaux;Matériaux;Jeremy;AA;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
ENEL SPA;IT0003128367;ENEL IM EQUITY;EUR;79,41;ITALY;Services aux collectivités;Services aux collectivités;Sophie;AAA;72,95;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ENGIE;FR0010208488;ENGI FP EQUITY;EUR;28,43;FRANCE;Services aux collectivités;Services aux collectivités;Sophie;A;66,24;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
ENI SPA;IT0003132476;ENI IM EQUITY;EUR;36,86;ITALY;Energie;Energie;Louis;A;78,67;Orange;BUY;UNDERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
EQUINOR ASA;NO0010096985;EQNR NO EQUITY;NOK;583,45;NORWAY;Energie;Energie;Louis;AAA;77,47;Green;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ERAMET;FR0000131757;ERA FP EQUITY;EUR;1,81;FRANCE;Matériaux;Matériaux;Jeremy;A;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
ERG SPA;IT0001157020;ERG IM EQUITY;EUR;3,66;ITALY;Services aux collectivités;Services aux collectivités;Sophie;AA;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
ERICSSON LM-B;SE0000108656;ERICB SS EQUITY;SEK;332,46;SWEDEN;Technologies de l'information;Matériel et équipement liés;Moad;AA;79,32;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ERSTE GROUP BANK;AT0000652011;EBS AV EQUITY;EUR;14,87;AUSTRIA;Finance;Banques;Chantal;AA;77,68;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ESSILORLUXOTTICA;FR0000121667;EL FP EQUITY;EUR;73,32;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;A;80;Yellow;SELL;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
ESTEE LAUDER;US5184391044;EL US EQUITY;USD;119,20;UNITED STATES;Consommation de base;Produits domestiques et de soi;Sophie;BBB;NR;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;OUI;NON;NON;NON;NON
EURAZEO SE;FR0000121121;RF FP EQUITY;EUR;6,89;FRANCE;Finance;Services financiers diversifi;Chantal;AA;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
EURONAV NV;BE0003816338;EURN BB EQUITY;EUR;1,50;BELGIUM;Energie;Energie;Louis;BB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
EURONEXT NV;NL0006294274;ENX FP EQUITY;EUR;9,91;NETHERLANDS;Finance;Services financiers diversifi;Chantal;A;NR;Green;NOT RATED;RATING SUSPENDED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
EUROPCAR MOBILIT;FR0012789949;EUCAR FP EQUITY;EUR;2,49;FRANCE;Industrie;Transport;Thomas;AA;59,5;Green;HOLD;NOT RATED;ACCEPT THE OFFER;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
EVONIK INDUSTRIE;DE000EVNK013;EVK GR EQUITY;EUR;13,57;GERMANY;Matériaux;Matériaux;Jeremy;A;72,77;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
FAURECIA;FR0000121147;EO FP EQUITY;EUR;5,11;FRANCE;Consommation discrétionnaire;Automobiles et composants auto;Yann;BB;59,84;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
FERRARI NV;NL0011585146;RACE US EQUITY;USD;40,48;ITALY;Consommation discrétionnaire;Automobiles et composants auto;Yann;BBB;60,94;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
FERROVIAL SA;ES0118900010;FER SM EQUITY;EUR;18,29;SPAIN;Industrie;Biens d'investissement;Yann;A;68,91;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
PEUGEOT INVEST;FR0000064784;PEUG FP EQUITY;EUR;2,97;FRANCE;Finance;Services financiers diversifi;Chantal;BB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
FNAC DARTY SA;FR0011476928;FNAC FP EQUITY;EUR;1,55;FRANCE;Consommation discrétionnaire;Vente au détail;Bruno;AA;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
FCC;ES0122060314;FCC SM EQUITY;EUR;4,14;SPAIN;Industrie;Biens d'investissement;Yann;A;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
FORTUM OYJ;FI0009007132;FORTUM FH EQUITY;EUR;21,80;FINLAND;Services aux collectivités;Services aux collectivités;Sophie;BBB;68,84;Green;BUY;NEUTRAL;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
FRAPORT AG;DE0005773303;FRA GR EQUITY;EUR;5,17;GERMANY;Industrie;Transport;Thomas;AA;NR;Yellow;NOT RATED;NEUTRAL;UNDERPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
FRESENIUS MEDICA;DE0005785802;FME GR EQUITY;EUR;19,65;GERMANY;Soins de santé;Equipement et services de sant;Thomas;BBB;57,14;Orange;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
FRESENIUS SE & C;DE0005785604;FRE GR EQUITY;EUR;24,90;GERMANY;Soins de santé;Equipement et services de sant;Thomas;BBB;50,14;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
GALP ENERGIA;PTGAL0AM0009;GALP PL EQUITY;EUR;6,98;PORTUGAL;Energie;Energie;Louis;AAA;85,95;Green;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NATURGY ENERGY;ES0116870314;NTGY SM EQUITY;EUR;21,14;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;AAA;77,03;Green;HOLD;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
GEA GROUP AG;DE0006602006;G1A GR EQUITY;EUR;6,87;GERMANY;Industrie;Biens d'investissement;Yann;A;64,63;Green;HOLD;UNDERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
GEBERIT AG-REG;CH0030170408;GEBN SW EQUITY;CHF;27,11;SWITZERLAND;Industrie;Biens d'investissement;Yann;AA;83,34;Green;HOLD;NOT RATED;UNDERPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
GECINA SA;FR0010040865;GFC FP EQUITY;EUR;10,34;FRANCE;Immobilier;Immobilier;Jeremy;AAA;83,24;Green;SELL;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
GENMAB A/S;DK0010272202;GMAB DC EQUITY;DKK;188,21;DENMARK;Soins de santé;Sciences pharmaceutiques, biot;Thomas;AA;NR;Green;SELL;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
GIVAUDAN-REG;CH0010645932;GIVN SW EQUITY;CHF;41,90;SWITZERLAND;Matériaux;Matériaux;Jeremy;AAA;75;Green;SELL;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
GLAXOSMITHKLINE;GB0009252882;GSK LN EQUITY;GBp;7241,64;BRITAIN;Soins de santé;Sciences pharmaceutiques, biot;Thomas;AA;67,88;Orange;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
GLENCORE PLC;JE00B4T3BW64;GLEN LN EQUITY;GBp;4326,40;SWITZERLAND;Matériaux;Matériaux;Jeremy;BBB;72,5;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
GOLDMAN SACHS GP;US38141G1040;GS US EQUITY;USD;139,94;UNITED STATES;Finance;Services financiers diversifi;Chantal;BBB;68,82;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;OUI;OUI;NON;NON;NON;NON
GRAND CITY PROPE;LU0775917882;GYC GR EQUITY;EUR;4,07;LUXEMBOURG;Immobilier;Immobilier;Jeremy;BBB;NR;Green;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
GRENKE AG;DE000A161N30;GLJ GR EQUITY;EUR;1,72;GERMANY;Finance;Services financiers diversifi;Chantal;A;NR;Orange;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
GRIFOLS SA;ES0171996087;GRF SM EQUITY;EUR;12,21;SPAIN;Soins de santé;Sciences pharmaceutiques, biot;Thomas;BBB;NR;Green;NOT RATED;NEUTRAL;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
GROUPE BRUX LAMB;BE0003797140;GBLB BB EQUITY;EUR;15,98;BELGIUM;Finance;Services financiers diversifi;Chantal;A;NR;Green;BUY;NOT RATED;NOT RATED;OUI;NON;NON;OUI;NON;NON;OUI;NON;NON;NON
GETLINK SE;FR0010533075;GET FP EQUITY;EUR;7,59;FRANCE;Industrie;Transport;Thomas;A;77,16;Green;HOLD;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;OUI
HANNOVER RUECK S;DE0008402215;HNR1 GR EQUITY;EUR;18,07;GERMANY;Finance;Assurance;Chantal;A;64,28;Green;BUY;OVERWEIGHT;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
HEIDELBERGCEMENT;DE0006047004;HEI GR EQUITY;EUR;14,58;GERMANY;Matériaux;Matériaux;Jeremy;AA;69,38;Yellow;HOLD;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
HEINEKEN NV;NL0000009165;HEIA NA EQUITY;EUR;54,61;NETHERLANDS;Consommation de base;Produits alimentaires, boisson;Sophie;AA;68,11;Green;BUY;OVERWEIGHT;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
HELLA GMBH & CO;DE000A13SX22;HLE GR EQUITY;EUR;6,68;GERMANY;Consommation discrétionnaire;Automobiles et composants auto;Yann;BBB;NR;Green;NOT RATED;NEUTRAL;NEUTRAL;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
HENKEL AG -PREF;DE0006048432;HEN3 GR EQUITY;EUR;36,14;GERMANY;Consommation de base;Produits domestiques et de soi;Sophie;AA;76,13;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
HENNES & MAURI-B;SE0000106270;HMB SS EQUITY;SEK;297,15;SWEDEN;Consommation discrétionnaire;Vente au détail;Bruno;AA;55,69;Yellow;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
HERMES INTL;FR0000052292;RMS FP EQUITY;EUR;141,78;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;BBB;48,66;Green;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
HOCHTIEF AG;DE0006070006;HOT GR EQUITY;EUR;4,79;GERMANY;Industrie;Biens d'investissement;Yann;AA;80,22;Orange;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
HSBC HOLDINGS PL;GB0005405286;HSBA LN EQUITY;GBp;8301,20;BRITAIN;Finance;Banques;Chantal;AA;61,47;Yellow;HOLD;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
IBERDROLA SA;ES0144580Y14;IBE SM EQUITY;EUR;64,93;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;AAA;76,29;Orange;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ICADE;FR0000035081;ICAD FP EQUITY;EUR;5,87;FRANCE;Immobilier;Immobilier;Jeremy;A;85,29;Green;HOLD;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
ILIAD SA;FR0004035913;ILD FP EQUITY;EUR;10,87;FRANCE;Services de communication;Services de télécommunicatio;Cédric;BB;47,07;Yellow;NOT RATED;RATING SUSPENDED;BUY;NON;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
IMCD NV;NL0010801007;IMCD NA EQUITY;EUR;8,71;NETHERLANDS;Industrie;Biens d'investissement;Yann;A;NR;Green;NOT RATED;NEUTRAL;NEUTRAL;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
IMERYS SA;FR0000120859;NK FP EQUITY;EUR;3,35;FRANCE;Matériaux;Matériaux;Jeremy;AA;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
IMMOBILIARE GRAN;IT0005322612;IGD IM EQUITY;EUR;0,46;ITALY;Immobilier;Immobilier;Jeremy;BB;NR;Green;HOLD;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
IMMOFINANZ AG;AT0000A21KS2;IIA AV EQUITY;EUR;2,53;AUSTRIA;Immobilier;Immobilier;Jeremy;BBB;43,09;Green;BUY;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
INDRA SISTEMAS;ES0118594417;IDR SM EQUITY;EUR;1,57;SPAIN;Technologies de l'information;Logiciels et services;Moad;AA;50,93;Green;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
INDITEX;ES0148396007;ITX SM EQUITY;EUR;89,23;SPAIN;Consommation discrétionnaire;Vente au détail;Bruno;AAA;65;Yellow;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
